2019-06-01 14:46:39,715 INFO  [main] H2Database:124 - [db] Using connection configuration jdbc:h2:db/h2db/cruise;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=FALSE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.thoughtworks.go.server.util.H2EventListener' [User: sa]
2019-06-01 14:46:39,719 INFO  [main] H2Database:114 - Creating data source with url=jdbc:h2:db/h2db/cruise;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=FALSE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.thoughtworks.go.server.util.H2EventListener'
2019-06-01 14:46:39,729 INFO  [main] DbDeployMigration:51 - Upgrading database at org.apache.commons.dbcp2.BasicDataSource@3b97907c. This might take a while depending on the size of the database.
2019-06-01 14:46:39,738 INFO  [main] DbDeployMigration:60 - ************************************************************************
2019-06-01 14:46:39,740 INFO  [main] DbDeployMigration:60 - WARNING: Shutting down your server at this point will lead to a database corruption. Please wait until the database upgrade completes.
2019-06-01 14:46:39,742 INFO  [main] DbDeployMigration:60 - ************************************************************************
2019-06-01 14:46:39,889 INFO  [main] H2EventListener:31 - Initializing database: jdbc:h2:db/h2db/cruise
2019-06-01 14:46:40,617 INFO  [main] H2EventListener:83 - Creating index SYS:SYS_ID 0%
2019-06-01 14:46:40,625 INFO  [main] H2EventListener:83 - Creating index SYS:SYS_ID 5%
2019-06-01 14:46:40,876 INFO  [main] H2EventListener:35 - Database is opened
2019-06-01 14:46:40,929 INFO  [main] H2EventListener:31 - Initializing database: jdbc:h2:db/h2db/cruise
2019-06-01 14:46:41,671 INFO  [main] H2EventListener:31 - Initializing database: jdbc:h2:db/h2db/cruise
2019-06-01 14:46:43,635 INFO  [main] Migration_86:94 - migrating 0 rows
2019-06-01 14:46:44,412 INFO  [main] DbDeployMigration:71 - Database upgrade completed.
2019-06-01 14:46:44,416 INFO  [main] H2EventListener:78 - Closing database
2019-06-01 14:46:44,978 INFO  [main] H2Database:124 - [db] Using connection configuration jdbc:h2:db/h2db/cruise;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE;MVCC=TRUE;CACHE_SIZE=131072;TRACE_LEVEL_FILE=1;TRACE_MAX_FILE_SIZE=16;DATABASE_EVENT_LISTENER='com.thoughtworks.go.server.util.H2EventListener' [User: sa]
